id_comentario,id_equipo_comentado,id_equipo_comentador,comentario,deportividad,fecha_creacion
75,14,14,Ejemplo claro de deportividad y fair play durante todo el partido.,5,2024-05-02 19:50:48
76,13,20,Gran muestra de juego limpio y compañerismo en la cancha.,4,2024-05-02 19:52:15
77,12,6,Mantuvieron un buen espíritu competitivo y respeto hacia el rival.,3,2024-05-02 19:57:05
78,20,7,En general fue un partido equilibrado pero con algunos roces.,2,2024-05-02 20:05:06
79,4,13,Ejemplo claro de deportividad y fair play durante todo el partido.,5,2024-05-02 20:06:48
80,19,15,Su juego fue muy agresivo y poco respetuoso.,0,2024-05-02 20:13:23
81,5,9,Mantuvieron un buen espíritu competitivo y respeto hacia el rival.,3,2024-05-02 20:15:22
82,7,11,Hubo varias faltas y protestas exageradas.,1,2024-05-02 20:21:00
83,18,5,Gran muestra de juego limpio y compañerismo en la cancha.,4,2024-05-02 20:22:43
84,17,10,En general fue un partido equilibrado pero con algunos roces.,2,2024-05-02 20:31:46
85,20,17,Su juego fue muy agresivo y poco respetuoso.,0,2024-05-02 20:32:54
86,11,4,Hubo varias faltas y protestas exageradas.,1,2024-05-02 20:40:06
87,6,18,Ejemplo claro de deportividad y fair play durante todo el partido.,5,2024-05-02 20:49:59
88,10,8,Gran muestra de juego limpio y compañerismo en la cancha.,4,2024-05-02 20:51:41
89,2,3,Mantuvieron un buen espíritu competitivo y respeto hacia el rival.,3,2024-05-02 20:58:08
90,15,14,En general fue un partido equilibrado pero con algunos roces.,2,2024-05-02 21:00:29
91,12,20,Hubo varias faltas y protestas exageradas.,1,2024-05-02 21:02:23
92,14,6,Ejemplo claro de deportividad y fair play durante todo el partido.,5,2024-05-02 21:09:13
93,8,7,Gran muestra de juego limpio y compañerismo en la cancha.,4,2024-05-02 21:16:13
94,4,13,Mantuvieron un buen espíritu competitivo y respeto hacia el rival.,3,2024-05-02 21:26:05
95,1,15,Su juego fue muy agresivo y poco respetuoso.,0,2024-05-02 21:32:21
96,3,12,En general fue un partido equilibrado pero con algunos roces.,2,2024-05-02 21:39:19
97,19,19,Mantuvieron un buen espíritu competitivo y respeto hacia el rival.,3,2024-05-02 21:45:03
98,13,1,Hubo varias faltas y protestas exageradas.,1,2024-05-02 21:54:08
99,9,16,Gran muestra de juego limpio y compañerismo en la cancha.,4,2024-05-02 21:55:16
100,16,2,Su juego fue muy agresivo y poco respetuoso.,0,2024-05-02 22:03:06
